,,Cost,,,,,Prod,,,,,
,44,"2.239,100.000","1.119,600.000",-,-,-,-,364.882,-,-,-,-290.453
,45,"3.358,700.000","1.679,300.000",-,-,-,-,421.687,-,-,-,-334.78
Extractor de Hidrogénio,1,250,100,-,-,-,-,-,14,-,-,-28
,2,388,155,-,-,-,-,-,35,-,-,-70
,3,601,240,-,-,-,-,-,66,-,-,-132
,4,931,372,-,-,-,-,-,109,-,-,-221
,5,1.443,577,-,-,-,-,-,171,-,-,-346
,6,2.237,895,-,-,-,-,-,231,-,-,-468
,7,3.467,1.387,-,-,-,-,-,303,-,-,-616
,8,5.374,2.149,-,-,-,-,-,389,-,-,-793
,9,8.329,3.332,-,-,-,-,-,493,-,-,-1.005
,10,12.91,5.164,-,-,-,-,-,616,-,-,-1.259
,11,20.01,8.004,-,-,-,-,-,762,-,-,-1.561
,12,31.016,12.406,-,-,-,-,-,935,-,-,-1.919
,13,48.075,19.23,-,-,-,-,-,1.14,-,-,-2.343
,14,74.516,29.807,-,-,-,-,-,1.381,-,-,-2.843
,15,115.5,46.2,-,-,-,-,-,1.665,-,-,-3.433
,16,179.026,71.61,-,-,-,-,-,1.998,-,-,-4.127
,17,277.49,110.996,-,-,-,-,-,2.388,-,-,-4.942
,18,430.109,172.044,-,-,-,-,-,2.845,-,-,-5.897
,19,666.669,266.668,-,-,-,-,-,3.378,-,-,-7.015
,20,1.034.000,413.335,-,-,-,-,-,4,-,-,-8.322
,21,1.602.000,640.669,-,-,-,-,-,4.725,-,-,-9.848
,22,2.483.000,993.038,-,-,-,-,-,5.569,-,-,-11.627
,23,3.849.000,1.540.000,-,-,-,-,-,6.55,-,-,-13.7
,24,5.965.000,2.386.000,-,-,-,-,-,7.689,-,-,-16.111
,25,9.245.000,3.698.000,-,-,-,-,-,9.011,-,-,-18.913
,26,14.330.000,5.732.000,-,-,-,-,-,10.543,-,-,-22.168
,27,22.211.000,8.885.000,-,-,-,-,-,12.317,-,-,-25.944
,28,34.427.000,13.771.000,-,-,-,-,-,14.369,-,-,-30.322
,29,53.362.000,21.345.000,-,-,-,-,-,16.743,-,-,-35.393
,30,82.711.000,33.085.000,-,-,-,-,-,19.485,-,-,-41.264
,31,"128,200.000",51.281.000,-,-,-,-,-,22.651,-,-,-48.054
,32,"198,700.000",79.485.000,-,-,-,-,-,26.305,-,-,-55.904
,33,"308,000.000","123,200.000",-,-,-,-,-,30.518,-,-,-64.973
,34,"477,400.000","191,000.000",-,-,-,-,-,35.373,-,-,-75.443
,35,"740,000.000","296,000.000",-,-,-,-,-,40.965,-,-,-87.525
,36,"1.147,000.000","458,800.000",-,-,-,-,-,47.402,-,-,-101.459
,37,"1.777,800.000","711,100.000",-,-,-,-,-,54.809,-,-,-117.521
,38,"2.755,600.000","1.102,200.000",-,-,-,-,-,63.326,-,-,-136.026
,39,"4.271,100.000","1.708,500.000",-,-,-,-,-,73.117,-,-,-157.335
Fábrica de Zion,1,2.5,500,-,-,-,-,-,-,14,-,-98
,2,3.75,750,-,-,-,-,-,-,35,-,-246
,3,5.625,1.125,-,-,-,-,-,-,65,-,-462
,4,8.438,1.688,-,-,-,-,-,-,108,-,-773
,5,12.656,2.531,-,-,-,-,-,-,168,-,-1.212
,6,18.984,3.797,-,-,-,-,-,-,226,-,-1.639
,7,28.477,5.695,-,-,-,-,-,-,295,-,-2.155
,8,42.715,8.543,-,-,-,-,-,-,379,-,-2.775
,9,64.072,12.814,-,-,-,-,-,-,478,-,-3.518
,10,96.108,19.222,-,-,-,-,-,-,596,-,-4.406
,11,144.163,28.833,-,-,-,-,-,-,736,-,-5.462
,12,216.244,43.249,-,-,-,-,-,-,901,-,-6.715
,13,324.366,64.873,-,-,-,-,-,-,1.095,-,-8.199
,14,486.549,97.31,-,-,-,-,-,-,1.323,-,-9.951
,15,729.823,145.965,-,-,-,-,-,-,1.59,-,-12.016
,16,1.095.000,218.947,-,-,-,-,-,-,1.903,-,-14.444
,17,1.643.000,328.42,-,-,-,-,-,-,2.269,-,-17.296
,18,2.464.000,492.631,-,-,-,-,-,-,2.695,-,-20.64
,19,3.695.000,738.946,-,-,-,-,-,-,3.192,-,-24.553
,20,5.543.000,1.109.000,-,-,-,-,-,-,3.77,-,-29.128
,21,8.314.000,1.663.000,-,-,-,-,-,-,4.441,-,-34.468
,22,12.470.000,2.494.000,-,-,-,-,-,-,5.22,-,-40.695
,23,18.705.000,3.741.000,-,-,-,-,-,-,6.124,-,-47.948
,24,28.057.000,5.612.000,-,-,-,-,-,-,7.169,-,-56.387
,25,42.086.000,8.418.000,-,-,-,-,-,-,8.379,-,-66.196
,26,63.128.000,12.626.000,-,-,-,-,-,-,9.778,-,-77.588
,27,94.692.000,18.939.000,-,-,-,-,-,-,11.392,-,-90.804
,28,"142,000.000",28.408.000,-,-,-,-,-,-,13.256,-,-106.127
,29,"213,100.000",42.612.000,-,-,-,-,-,-,15.404,-,-123.876
,30,"319,600.000",63.918.000,-,-,-,-,-,-,17.879,-,-144.423
,31,"479,400.000",95.876.000,-,-,-,-,-,-,20.729,-,-168.19
,32,"719,100.000","143,800.000",-,-,-,-,-,-,24.009,-,-195.664
,33,"1.078,600.000","215,700.000",-,-,-,-,-,-,27.779,-,-227.405
,34,"1.617,900.000","323,600.000",-,-,-,-,-,-,32.113,-,-264.052
,35,"2.426,800.000","485,400.000",-,-,-,-,-,-,37.091,-,-306.339
,36,"3.640,300.000","728,100.000",-,-,-,-,-,-,42.805,-,-355.108
Fábrica de Nanites,1,1.000.000,350,-,10,-,-,-2.8,-,-196,3,-2.8
,2,2.000.000,700,-,20,-,-,-7.056,-,-488,7,-7.022
,3,4.000.000,1.400.000,-,40,-,-,-13.336,-,-910,14,-13.209
,4,8.000.000,2.800.000,-,80,-,-,-22.404,-,-1.509,25,-22.086
,5,16.000.000,5.600.000,-,160,-,-,-35.287,-,-2.347,40,-34.619
,6,32.000.000,11.200.000,-,320,-,-,-47.849,-,-3.16,55,-46.819
,7,64.000.000,22.400.000,-,640,-,-,-63.081,-,-4.136,74,-61.559
,8,"128,000.000",44.800.000,-,1.280.000,-,-,-81.464,-,-5.304,97,-79.288
,9,"256,000.000",89.600.000,-,2.560.000,-,-,-103.561,-,-6.695,126,-100.528
,10,"512,000.000","179,200.000",-,5.120.000,-,-,-130.027,-,-8.346,161,-125.883
,11,"1.024,000.000","358,400.000",-,10.240.000,-,-,-161.623,-,-10.301,203,-156.057
,12,"2.048,000.000","716,800.000",-,20.480.000,-,-,-199.237,-,-12.609,255,-191.865
,13,"4.096,000.000","1.433,600.000",-,40.960.000,-,-,-243.9,-,-15.326,318,-234.252
Painéis Solares,1,100,45,-,-,-,-,-,-,-,-,56
,2,150,68,-,-,-,-,-,-,-,-,140
,3,225,101,-,-,-,-,-,-,-,-,264
,4,338,152,-,-,-,-,-,-,-,-,442
,5,506,228,-,-,-,-,-,-,-,-,692
,6,759,342,-,-,-,-,-,-,-,-,936
,7,1.139,513,-,-,-,-,-,-,-,-,1.231
,8,1.709,769,-,-,-,-,-,-,-,-,1.586
,9,2.563,1.153,-,-,-,-,-,-,-,-,2.011
,10,3.844,1.73,-,-,-,-,-,-,-,-,2.518
,11,5.767,2.595,-,-,-,-,-,-,-,-,3.121
,12,8.65,3.892,-,-,-,-,-,-,-,-,3.837
,13,12.975,5.839,-,-,-,-,-,-,-,-,4.685
,14,19.462,8.758,-,-,-,-,-,-,-,-,5.686
,15,29.193,13.137,-,-,-,-,-,-,-,-,6.866
,16,43.789,19.705,-,-,-,-,-,-,-,-,8.254
,17,65.684,29.558,-,-,-,-,-,-,-,-,9.884
,18,98.526,44.337,-,-,-,-,-,-,-,-,11.794
,19,147.789,66.505,-,-,-,-,-,-,-,-,14.03
,20,221.684,99.758,-,-,-,-,-,-,-,-,16.644
,21,332.526,149.637,-,-,-,-,-,-,-,-,19.696
,22,498.789,224.455,-,-,-,-,-,-,-,-,23.255
,23,748.183,336.682,-,-,-,-,-,-,-,-,27.399
,24,1.123.000,505.023,-,-,-,-,-,-,-,-,32.221
,25,1.684.000,757.535,-,-,-,-,-,-,-,-,37.827
,26,2.526.000,1.137.000,-,-,-,-,-,-,-,-,44.336
,27,3.788.000,1.705.000,-,-,-,-,-,-,-,-,51.888
,28,5.682.000,2.557.000,-,-,-,-,-,-,-,-,60.644
,29,8.523.000,3.836.000,-,-,-,-,-,-,-,-,70.786
,30,12.784.000,5.753.000,-,-,-,-,-,-,-,-,82.527
,31,19.176.000,8.629.000,-,-,-,-,-,-,-,-,96.108
,32,28.763.000,12.944.000,-,-,-,-,-,-,-,-,111.808
,33,43.144.000,19.415.000,-,-,-,-,-,-,-,-,129.946
,34,64.716.000,29.123.000,-,-,-,-,-,-,-,-,150.887
,35,97.074.000,43.684.000,-,-,-,-,-,-,-,-,175.051
,36,"145,600.000",65.525.000,-,-,-,-,-,-,-,-,202.919
,37,"218,400.000",98.288.000,-,-,-,-,-,-,-,-,235.042
,38,"327,600.000","147,400.000",-,-,-,-,-,-,-,-,272.051
,39,"491,400.000","221,100.000",-,-,-,-,-,-,-,-,314.67
,40,"737,200.000","331,700.000",-,-,-,-,-,-,-,-,363.727
,41,"1.105,700.000","497,600.000",-,-,-,-,-,-,-,-,420.168
,42,"1.658,600.000","746,400.000",-,-,-,-,-,-,-,-,485.079
,43,"2.487,900.000","1.119,600.000",-,-,-,-,-,-,-,-,559.7
,44,"3.731,800.000","1.679,300.000",-,-,-,-,-,-,-,-,645.451
Central Nuclear,1,40,15,5,-,-,-,-,-112,-,-,2.8
,2,72,27,9,-,-,-,-,-280,-,-,7.022
,3,129.6,48.6,16.2,-,-,-,-,-525,-,-,13.209
,4,233.28,87.48,29.16,-,-,-,-,-875,-,-,22.086
,5,419.904,157.464,52.488,-,1,-,-,-1.367,-,-,34.619
,6,755.827,283.435,94.478,-,1,-,-,-1.846,-,-,46.819
,7,1.361.000,510.183,170.061,-,2,-,-,-2.422,-,-,61.559
,8,2.449.000,918.33,306.11,-,3,-,-,-3.115,-,-,79.288
,9,4.408.000,1.653.000,550.998,-,6,-,-,-3.942,-,-,100.528
,10,7.935.000,2.976.000,991.796,-,10,-,-,-4.927,-,-,125.883
,11,14.282.000,5.356.000,1.786.000,-,18,-,-,-6.098,-,-,156.057
,12,25.708.000,9.641.000,3.214.000,-,32,-,-,-7.484,-,-,191.865
,13,46.274.000,17.353.000,5.785.000,-,58,-,-,-9.121,-,-,234.252
,14,83.292.000,31.235.000,10.412.000,-,104,-,-,-11.05,-,-,284.31
,15,"149,900.000",56.223.000,18.741.000,-,187,-,-,-13.319,-,-,343.304
,16,"269,900.000","101,200.000",33.734.000,-,337,-,-,-15.983,-,-,412.697
,17,"485,800.000","182,200.000",60.720.000,-,607,-,-,-19.105,-,-,494.179
,18,"874,400.000","327,900.000","109,300.000",-,1.093,-,-,-22.757,-,-,589.701
,19,"1.573,900.000","590,200.000","196,700.000",-,1.967,-,-,-27.024,-,-,701.514
,20,"2.832,900.000","1.062,400.000","354,100.000",-,3.541,-,-,-32.002,-,-,832.218

